MOVIES,YEAR,GENRE,RATING,ONE-LINE,VOTES,RunTime,Gross,GENRE_LIST,Director,Actors
Gotham,2014,"Action, Crime, Drama",7.8,"
The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.",216458,42,,"['Action', 'Crime', 'Drama']",,"Ben McKenzie, 
Jada Pinkett Smith, 
Donal Logue, 
Camren Bicondova"
Billions,2016,Drama,8.4,"
U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.",74094,60,,['Drama'],,"Paul Giamatti, 
Damian Lewis, 
Maggie Siff, 
David Costabile"
Agents of S.H.I.E.L.D.,2013,"Action, Adventure, Drama",7.5,"
The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.",205119,45,,"['Action', 'Adventure', 'Drama']",,"Clark Gregg, 
Ming-Na Wen, 
Brett Dalton, 
Iain De Caestecker"
Don't Breathe,2016,"Crime, Horror, Thriller",7.1,"
Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",237601,88,89.22,"['Crime', 'Horror', 'Thriller']",Fede Alvarez,"Stephen Lang, 
Jane Levy, 
Dylan Minnette, 
Daniel Zovatto"
The Ice Road,2021,"Action, Adventure, Drama",5.6,"
After a remote diamond mine collapses in far northern Canada, a ‘big-rig’ ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.",20561,109,,"['Action', 'Adventure', 'Drama']",Jonathan Hensleigh,"Liam Neeson, 
Marcus Thomas, 
Laurence Fishburne, 
Amber Midthunder"
Arrow,2012,"Action, Adventure, Crime",7.5,"
Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",414712,42,,"['Action', 'Adventure', 'Crime']",,"Stephen Amell, 
Katie Cassidy, 
David Ramsey, 
Susanna Thompson"
Orange Is the New Black,2013,"Comedy, Crime, Drama",8.0,"
Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",284554,59,,"['Comedy', 'Crime', 'Drama']",,"Taylor Schilling, 
Danielle Brooks, 
Taryn Manning, 
Emma Myles"
Gossip Girl,2007,"Drama, Romance",7.4,"
Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.",159666,42,,"['Drama', 'Romance']",,"Blake Lively, 
Leighton Meester, 
Penn Badgley, 
Ed Westwick"
Bridgerton,2020,"Drama, Romance",7.3,"
Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",83944,60,,"['Drama', 'Romance']",,"Phoebe Dynevor, 
Regé-Jean Page, 
Nicola Coughlan, 
Jonathan Bailey"
The Kominsky Method,2018,"Comedy, Drama",8.2,"
An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.",33440,30,,"['Comedy', 'Drama']",,"Michael Douglas, 
Sarah Baker, 
Graham Rogers, 
Melissa Tang"
Homeland,2011,"Crime, Drama, Mystery",8.3,"
A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.",322307,55,,"['Crime', 'Drama', 'Mystery']",,"Claire Danes, 
Mandy Patinkin, 
Damian Lewis, 
Rupert Friend"
Riverdale,2017,"Crime, Drama, Mystery",6.8,"
While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",126112,45,,"['Crime', 'Drama', 'Mystery']",,"K.J. Apa, 
Lili Reinhart, 
Camila Mendes, 
Cole Sprouse"
Sherlock,2010,"Crime, Drama, Mystery",9.1,"
A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.",839029,88,,"['Crime', 'Drama', 'Mystery']",,"Benedict Cumberbatch, 
Martin Freeman, 
Una Stubbs, 
Rupert Graves"
La cocinera de Castamar,2021,Drama,7.4,"
Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",1336,60,,['Drama'],,"Michelle Jenner, 
Roberto Enríquez, 
Hugo Silva, 
Maxi Iglesias"
Queen of the South,2016,"Action, Crime, Drama",8.0,"
Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.",23318,42,,"['Action', 'Crime', 'Drama']",,"Alice Braga, 
Hemky Madera, 
Peter Gadiot, 
Veronica Falcón"
CSI: Crime Scene Investigation,2000,"Crime, Drama, Mystery",7.6,"
Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.",78589,60,,"['Crime', 'Drama', 'Mystery']",,"Laurence Fishburne, 
Marg Helgenberger, 
George Eads, 
Eric Szmanda"
The Umbrella Academy,2019,"Action, Adventure, Comedy",8.0,"
A family of former child heroes, now grown apart, must reunite to continue to protect the world.",175513,60,,"['Action', 'Adventure', 'Comedy']",,"Elliot Page, 
Tom Hopper, 
David Castañeda, 
Emmy Raver-Lampman"
Supergirl,2015,"Action, Adventure, Drama",6.2,"
The adventures of Superman's cousin in her own superhero career.",115373,43,,"['Action', 'Adventure', 'Drama']",,"Melissa Benoist, 
Chyler Leigh, 
David Harewood, 
Mehcad Brooks"
BoJack Horseman,2014,"Animation, Comedy, Drama",8.7,"
BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",124318,25,,"['Animation', 'Comedy', 'Drama']",,"Will Arnett, 
Amy Sedaris, 
Alison Brie, 
Aaron Paul"
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",8.8,"
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",1713028,178,315.54,"['Action', 'Adventure', 'Drama']",Peter Jackson,"Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean"
I Think You Should Leave with Tim Robinson,2019,Comedy,7.8,"
In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.",8095,16,,['Comedy'],,"Tim Robinson, 
Sam Richardson, 
Patti Harrison, 
Conner O'Malley"
South Park,1997,"Animation, Comedy",8.7,"
Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",340148,22,,"['Animation', 'Comedy']",,"Trey Parker, 
Matt Stone, 
Isaac Hayes, 
Mona Marshall"
Once Upon a Time,2011,"Adventure, Fantasy, Romance",7.7,"
A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.",212616,60,,"['Adventure', 'Fantasy', 'Romance']",,"Ginnifer Goodwin, 
Jennifer Morrison, 
Lana Parrilla, 
Robert Carlyle"
Star Trek: Discovery,2017,"Action, Adventure, Drama",7.2,"
Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",101079,60,,"['Action', 'Adventure', 'Drama']",,"Sonequa Martin-Green, 
Doug Jones, 
Anthony Rapp, 
Mary Wiseman"
Teen Wolf,2011,"Action, Drama, Fantasy",7.6,"
An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.",132950,41,,"['Action', 'Drama', 'Fantasy']",,"Tyler Posey, 
Holland Roden, 
Dylan O'Brien, 
Linden Ashby"
How to Get Away with Murder,2014,"Crime, Drama, Mystery",8.1,"
A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.",136135,43,,"['Crime', 'Drama', 'Mystery']",,"Viola Davis, 
Billy Brown, 
Jack Falahee, 
Aja Naomi King"
Star Trek: Deep Space Nine,1993,"Action, Adventure, Drama",8.0,"
In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.",55687,45,,"['Action', 'Adventure', 'Drama']",,"Avery Brooks, 
Rene Auberjonois, 
Cirroc Lofton, 
Alexander Siddig"
Seinfeld,1989,Comedy,8.8,"
The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.",264801,22,,['Comedy'],,"Jerry Seinfeld, 
Julia Louis-Dreyfus, 
Michael Richards, 
Jason Alexander"
Spartacus: Blood and Sand,2010,"Action, Adventure, Biography",8.5,"
The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",228484,55,,"['Action', 'Adventure', 'Biography']",,"Andy Whitfield, 
Lucy Lawless, 
Manu Bennett, 
Daniel Feuerriegel"
Hawaii Five-0,2010,"Action, Crime, Drama",7.3,"
Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0.",68627,42,,"['Action', 'Crime', 'Drama']",,"Alex O'Loughlin, 
Scott Caan, 
Taylor Wily, 
Daniel Dae Kim"
Good Witch,2015,"Comedy, Drama, Fantasy",7.3,"
""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.",8268,48,,"['Comedy', 'Drama', 'Fantasy']",,"Catherine Bell, 
Catherine Disher, 
James Denton, 
Kylee Evans"
The Sinner,2017,"Crime, Drama, Mystery",7.9,"
Anthology series that examines how and why ordinary people commit brutal crimes.",96901,45,,"['Crime', 'Drama', 'Mystery']",,"Bill Pullman, 
Dohn Norwood, 
Adam LeFevre, 
Jessica Biel"
Arrested Development,2003,Comedy,8.7,"
Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",284373,22,,['Comedy'],,"Jason Bateman, 
Michael Cera, 
Portia de Rossi, 
Will Arnett"
Escape Room,,"Action, Adventure, Horror",6.4,"
Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.",99351,99,57.01,"['Action', 'Adventure', 'Horror']",Adam Robitel,"Taylor Russell, 
Logan Miller, 
Jay Ellis, 
Tyler Labine"
You,2018,"Crime, Drama, Romance",7.7,"
A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",157666,45,,"['Crime', 'Drama', 'Romance']",,"Penn Badgley, 
Victoria Pedretti, 
Ambyr Childers, 
Elizabeth Lail"
Mindhunter,2017,"Crime, Drama, Thriller",8.6,"
Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",235694,60,,"['Crime', 'Drama', 'Thriller']",,"Jonathan Groff, 
Holt McCallany, 
Anna Torv, 
Hannah Gross"
Jaws,1975,"Adventure, Thriller",8.0,"
When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",558731,124,260.0,"['Adventure', 'Thriller']",Steven Spielberg,"Roy Scheider, 
Robert Shaw, 
Richard Dreyfuss, 
Lorraine Gary"
Avatar: The Last Airbender,2005,"Animation, Action, Adventure",9.3,"
In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",265845,23,,"['Animation', 'Action', 'Adventure']",,"Dee Bradley Baker, 
Zach Tyler, 
Mae Whitman, 
Jack De Sena"
The Punisher,2017,"Action, Crime, Drama",8.5,"
After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.",194777,53,,"['Action', 'Crime', 'Drama']",,"Jon Bernthal, 
Amber Rose Revah, 
Ben Barnes, 
Jason R. Moore"
Star Trek: Voyager,1995,"Action, Adventure, Sci-Fi",7.8,"
Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",61917,44,,"['Action', 'Adventure', 'Sci-Fi']",,"Kate Mulgrew, 
Robert Beltran, 
Roxann Dawson, 
Robert Duncan McNeill"
The Departed,2006,"Crime, Drama, Thriller",8.5,"
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.",1227522,151,132.38,"['Crime', 'Drama', 'Thriller']",Martin Scorsese,"Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg"
Narcos,2015,"Biography, Crime, Drama",8.8,"
A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",375261,49,,"['Biography', 'Crime', 'Drama']",,"Pedro Pascal, 
Lizbeth Eden, 
Wagner Moura, 
Boyd Holbrook"
The Serpent,2021,"Crime, Drama, Thriller",7.6,"
The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail.",33936,58,,"['Crime', 'Drama', 'Thriller']",,"Tahar Rahim, 
Billy Howle, 
Jenna Coleman, 
Ellie Bamber"
Star Wars: The Clone Wars,2008,"Animation, Action, Adventure",8.3,"
Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.",71904,23,,"['Animation', 'Action', 'Adventure']",,"Tom Kane, 
Dee Bradley Baker, 
Matt Lanter, 
James Arnold Taylor"
"Murder, She Wrote",1984,"Crime, Drama, Mystery",7.0,"
Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.",20330,50,,"['Crime', 'Drama', 'Mystery']",,"Angela Lansbury, 
William Windom, 
Ron Masak, 
Louis Herthum"
Fatherhood,2021,"Comedy, Drama",6.7,"
A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.",26508,109,,"['Comedy', 'Drama']",Paul Weitz,"Kevin Hart, 
Alfre Woodard, 
Lil Rel Howery, 
DeWanda Wise"
Blue Bloods,2010,"Crime, Drama, Mystery",7.6,"
Revolves around a family of New York cops.",34064,43,,"['Crime', 'Drama', 'Mystery']",,"Donnie Wahlberg, 
Bridget Moynahan, 
Will Estes, 
Len Cariou"
Heist,2021,"Documentary, Crime, Mystery",6.8,"
Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.",846,41,,"['Documentary', 'Crime', 'Mystery']",,"William Guirola, 
Megan Barlow, 
Scott Bender, 
Jonny Carlson"
The Woman in the Window,2021,"Crime, Drama, Mystery",5.7,"
An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.",57048,100,,"['Crime', 'Drama', 'Mystery']",Joe Wright,"Amy Adams, 
Gary Oldman, 
Anthony Mackie, 
Fred Hechinger"
Black Summer,2019,"Action, Drama, Horror",6.5,"
In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.",25453,40,,"['Action', 'Drama', 'Horror']",,"Jaime King, 
Justin Chu Cary, 
Christine Lee, 
Zoe Marlett"
Katla,2021,"Drama, Mystery, Sci-Fi",7.1,"
One year after the violent eruption of the subglacial volcano Katla, the peace and tranquility in the small town of Vik is dramatically disturbed.",8391,60,,"['Drama', 'Mystery', 'Sci-Fi']",,"Guðrún Ýr Eyfjörð, 
Íris Tanja Flygenring, 
Ingvar Sigurdsson, 
Aliette Opheim"
Gone Girl,2014,"Drama, Mystery, Thriller",8.1,"
With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",895888,149,167.77,"['Drama', 'Mystery', 'Thriller']",David Fincher,"Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry"
Jumanji: Welcome to the Jungle,2017,"Action, Adventure, Comedy",6.9,"
Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",337900,119,404.52,"['Action', 'Adventure', 'Comedy']",Jake Kasdan,"Dwayne Johnson, 
Karen Gillan, 
Kevin Hart, 
Jack Black"
